,artists,songs
0,Morgan Wallen,last night
1,Luke Combs,fast car
2,Rema & Selena Gomez,calm down
3,Miley Cyrus,flowers
4,Lil Durk Featuring J. Cole,all my life
5,Toosii,favorite song
6,Taylor Swift Featuring Ice Spice,karma
7,SZA,kill bill
8,"Metro Boomin, The Weeknd & 21 Savage",creepin'
9,Eslabon Armado X Peso Pluma,ella baila sola
10,Miguel,sure thing
11,Taylor Swift,anti-hero
12,SZA,snooze
13,Zach Bryan,something in the orange
14,The Weeknd & Ariana Grande,die for you
15,Gunna,fukumean
16,Jelly Roll,need a favor
17,Taylor Swift,cruel summer
18,Yng Lvcas x Peso Pluma,la bebe
19,Morgan Wallen,you proof
20,Grupo Frontera X Bad Bunny,un x100to
21,Morgan Wallen,thinkin' bout me
22,Bailey Zimmerman,rock and a hard place
23,Fifty Fifty,cupid
24,Drake,search & rescue
25,Post Malone,chemical
26,Ed Sheeran,eyes closed
27,Jordan Davis,next thing you know
28,Gunna,back to the moon
29,Bad Bunny,where she goes
30,Doja Cat,attention
31,David Guetta & Bebe Rexha,i'm good (blue)
32,Morgan Wallen,thought you should know
33,Dua Lipa,dance the night
34,Tyler Hubbard,dancin' in the country
35,Bailey Zimmerman,religiously
36,PinkPantheress & Ice Spice,"boy's a liar, pt. 2"
37,Old Dominion,memory lane
38,Latto Featuring Cardi B,put it on da floor again
39,Kali,area codes
40,Lil Durk Featuring Morgan Wallen,stand by me
41,Gunna,rodeo dr
42,Megan Moroney,tennessee orange
43,Bizarrap & Peso Pluma,"bzrp music sessions, vol. 55"
44,Luke Combs,love you anyway
45,Morgan Wallen,one thing at a time
46,Fuerza Regida,tqm
47,Coi Leray,players
48,Chris Brown,under the influence
49,Kane Brown With Katelyn Brown,thank god
50,Gunna,back at it
51,Gunna,bread & butter
52,Ice Spice & Nicki Minaj,princess diana
53,Peso Pluma,bye
54,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",calling
55,David Kushner,daylight
56,Doechii Featuring Kodak Black,what it is (block boy)
57,"Metro Boomin, Swae Lee, Lil Wayne & Offset",annihilate
58,Kane Brown,bury me in georgia
59,Gunna,ca$h $hit
60,Metro Boomin & Coi Leray,self love
61,Gunna,bottom
62,Scotty McCreery,it matters to her
63,Noah Kahan,dial drunk
64,Peso Pluma X Natanael Cano,prc
65,Peso Pluma,por las noches
66,Post Malone,mourning
67,"Metro Boomin, A$AP Rocky & Roisee",am i dreaming
68,Jonas Brothers,waffle house
69,"Tyler, The Creator Featuring Kali Uchis",see you again
70,Karol G x Shakira,tqg
71,Jon Pardi,your heart or mine
72,Young Nudy Featuring 21 Savage,peaches & eggplants
73,Junior H x Peso Pluma,el azul
74,Justin Moore & Priscilla Block,"you, me, & whiskey"
75,Gunna,idk nomore
76,Gunna,p angels
77,Morgan Wallen Featuring ERNEST,cowgirls
78,"David Guetta, Anne-Marie & Coi Leray",baby don't hurt me
79,"The Weeknd, Playboi Carti & Madonna",popular
80,Rod Wave,fight the feeling
81,NLE Choppa,slut me out
82,Gunna,paybach
83,El Alfa x Peso Pluma,plebada
84,Jelly Roll With Lainey Wilson,save me
85,Yahritza y Su Esencia x Grupo Frontera,fragil
86,Miley Cyrus,jaded
87,Coco Jones,icu
88,HARDY,truck bed
89,Morgan Wallen,ain't that some
90,DaBaby,shake sumn
91,P!nk,trustfall
92,Libianca,people
93,Gunna,go crazy
94,Becky G & Peso Pluma,chanel
95,"Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long","angel, pt. 1"
96,Parmalee,girl in mine
97,Kali Uchis,moonlight
98,Feid x Young Miko,classy 101
99,Gucci Mane & Lil Baby,bluffin
